iter	MultiClass
0	2.782156813
1	2.322236304
2	2.07593545
3	1.924039273
4	1.844431739
5	1.784874597
6	1.719878669
7	1.601156195
8	1.502865359
9	1.418421459
10	1.343064484
11	1.301009017
12	1.245334145
13	1.206996363
14	1.190379356
15	1.128282104
16	1.096059409
17	1.069916276
18	1.034190244
19	0.9877347831
20	0.9781747175
21	0.9654450542
22	0.9246292447
23	0.8915464931
24	0.869983229
25	0.8565783011
26	0.8250334945
27	0.7992276596
28	0.7917592101
29	0.7692580089
30	0.7649955145
31	0.7392186872
32	0.7107225501
33	0.6879647504
34	0.671089263
35	0.6394777035
36	0.634358373
37	0.6074371165
38	0.5865583977
39	0.5810737499
40	0.5609181107
41	0.545238876
42	0.5355478843
43	0.5161357725
44	0.4968158029
45	0.4826757077
46	0.4775188972
47	0.4703201689
48	0.4627386173
49	0.4493864431
50	0.439883279
51	0.429987603
52	0.4187750176
53	0.4128093663
54	0.3962355782
55	0.3881996491
56	0.3780784924
57	0.3737983811
58	0.3705244793
59	0.3596702301
60	0.3509686637
61	0.3433595538
62	0.33731254
63	0.3277428553
64	0.3217002281
65	0.3123586924
66	0.3077701645
67	0.3008173266
68	0.2961045035
69	0.2905433339
70	0.2844055529
71	0.2812597917
72	0.2745875453
73	0.2693271059
74	0.2630745179
75	0.2591874683
76	0.2536204502
77	0.248619915
78	0.2455984053
79	0.2389762549
80	0.2367408577
81	0.2326739816
82	0.2294834976
83	0.2246047317
84	0.223188614
85	0.2199404001
86	0.2160785578
87	0.2117910807
88	0.2059994641
89	0.2036399653
90	0.199651629
91	0.1952176417
92	0.192777408
93	0.1901787758
94	0.1861689669
95	0.1842295239
96	0.1812627345
97	0.1804275775
98	0.1770677087
99	0.1747358385
