iter	Passed	Remaining
0	75	7442
1	157	7698
2	237	7691
3	327	7853
4	406	7732
5	484	7593
6	561	7458
7	638	7338
8	714	7221
9	793	7141
10	871	7048
11	954	6998
12	1040	6964
13	1126	6922
14	1207	6843
15	1288	6765
16	1369	6688
17	1447	6594
18	1523	6496
19	1600	6400
20	1676	6305
21	1753	6217
22	1828	6122
23	1904	6030
24	1980	5941
25	2056	5853
26	2134	5771
27	2214	5694
28	2293	5614
29	2374	5539
30	2401	5346
31	2479	5269
32	2557	5193
33	2633	5112
34	2709	5032
35	2787	4954
36	2863	4875
37	2943	4802
38	3022	4726
39	3108	4663
40	3185	4583
41	3260	4502
42	3345	4435
43	3420	4353
44	3493	4270
45	3566	4186
46	3638	4102
47	3710	4019
48	3784	3939
49	3858	3858
50	3930	3776
51	4003	3695
52	4076	3615
53	4149	3535
54	4226	3458
55	4302	3380
56	4379	3303
57	4451	3223
58	4523	3143
59	4597	3064
60	4668	2984
61	4741	2906
62	4817	2829
63	4889	2750
64	4963	2672
65	5035	2594
66	5108	2516
67	5182	2438
68	5254	2360
69	5328	2283
70	5403	2206
71	5476	2129
72	5549	2052
73	5620	1974
74	5693	1897
75	5768	1821
76	5840	1744
77	5913	1667
78	5986	1591
79	6058	1514
80	6132	1438
81	6204	1361
82	6277	1285
83	6352	1209
84	6423	1133
85	6496	1057
86	6568	981
87	6642	905
88	6715	830
89	6789	754
90	6859	678
91	6933	602
92	7007	527
93	7079	451
94	7152	376
95	7223	300
96	7296	225
97	7370	150
98	7444	75
99	7517	0
