iter	Passed	Remaining
0	185	18318
1	275	13509
2	364	11786
3	455	10920
4	534	10162
5	611	9577
6	686	9117
7	761	8753
8	823	8321
9	885	7967
10	953	7710
11	1023	7508
12	1087	7277
13	1146	7044
14	1206	6835
15	1268	6659
16	1329	6493
17	1388	6326
18	1450	6185
19	1523	6094
20	1595	6001
21	1669	5917
22	1744	5841
23	1817	5754
24	1889	5667
25	1959	5576
26	2030	5489
27	2108	5422
28	2186	5353
29	2257	5268
30	2283	5082
31	2356	5007
32	2430	4934
33	2503	4859
34	2576	4784
35	2649	4711
36	2715	4623
37	2776	4530
38	2834	4434
39	2899	4348
40	2962	4263
41	3023	4175
42	3084	4088
43	3147	4006
44	3209	3922
45	3269	3838
46	3349	3776
47	3415	3700
48	3476	3618
49	3539	3539
50	3602	3461
51	3666	3384
52	3727	3305
53	3791	3229
54	3853	3153
55	3917	3077
56	3977	3000
57	4038	2924
58	4101	2849
59	4168	2778
60	4241	2711
61	4317	2646
62	4392	2579
63	4462	2510
64	4525	2436
65	4586	2362
66	4653	2291
67	4713	2218
68	4776	2145
69	4844	2076
70	4912	2006
71	4976	1935
72	5037	1863
73	5101	1792
74	5168	1722
75	5232	1652
76	5297	1582
77	5357	1511
78	5423	1441
79	5499	1374
80	5570	1306
81	5633	1236
82	5696	1166
83	5762	1097
84	5822	1027
85	5886	958
86	5944	888
87	6006	819
88	6068	750
89	6132	681
90	6190	612
91	6248	543
92	6307	474
93	6369	406
94	6447	339
95	6523	271
96	6607	204
97	6675	136
98	6738	68
99	6801	0
