iter	MultiClass
0	2.831771777
1	2.409604452
2	2.241203369
3	1.957989665
4	1.833304871
5	1.755901791
6	1.633345785
7	1.494314897
8	1.41134597
9	1.35100499
10	1.291526936
11	1.245692955
12	1.20079024
13	1.163425173
14	1.116581134
15	1.08750585
16	1.040593313
17	1.020559429
18	0.9896726307
19	0.9721820083
20	0.9465910333
21	0.9069739152
22	0.8966216917
23	0.8629258366
24	0.8412206818
25	0.8036824032
26	0.7737915372
27	0.7388958137
28	0.7175801322
29	0.6975446741
30	0.6786383073
31	0.6495620836
32	0.6275220522
33	0.6060340354
34	0.5889979563
35	0.5787271387
36	0.5636462777
37	0.5484257412
38	0.5335249247
39	0.5251213507
40	0.5135259192
41	0.5042496884
42	0.4941395009
43	0.485687742
44	0.4756533045
45	0.4660905315
46	0.4559431037
47	0.4470156277
48	0.4399199078
49	0.4259972992
50	0.4148165621
51	0.4059108205
52	0.4007150509
53	0.3956486075
54	0.3863822723
55	0.3740059667
56	0.3628797724
57	0.3538326035
58	0.3426001149
59	0.3358819328
60	0.3264288513
61	0.3189550752
62	0.3088002361
63	0.3000205639
64	0.2937252707
65	0.2902082479
66	0.283158686
67	0.278304708
68	0.2720177897
69	0.2692586361
70	0.266515297
71	0.2624134908
72	0.2584269156
73	0.2526659355
74	0.2470392281
75	0.2434843662
76	0.2393500566
77	0.2339473034
78	0.2314268758
79	0.2272103535
80	0.2225977521
81	0.2176986465
82	0.21472694
83	0.211383845
84	0.2086617356
85	0.2058824715
86	0.2028825473
87	0.1984994887
88	0.1958080765
89	0.1915461699
90	0.1866381381
91	0.1849322662
92	0.1819694577
93	0.1798576381
94	0.1771897812
95	0.1759151319
96	0.1719569587
97	0.1692768841
98	0.1680993667
99	0.1661275712
