iter	Passed	Remaining
0	45	4463
1	76	3747
2	126	4082
3	175	4202
4	221	4212
5	267	4184
6	316	4198
7	361	4159
8	408	4128
9	455	4098
10	501	4059
11	548	4022
12	594	3981
13	640	3934
14	694	3935
15	746	3919
16	798	3898
17	845	3850
18	892	3805
19	938	3755
20	985	3708
21	1032	3662
22	1078	3612
23	1126	3566
24	1175	3525
25	1239	3528
26	1292	3494
27	1345	3459
28	1397	3420
29	1449	3381
30	1498	3336
31	1547	3288
32	1593	3234
33	1641	3185
34	1687	3134
35	1733	3082
36	1780	3030
37	1826	2980
38	1873	2930
39	1920	2881
40	1967	2831
41	2014	2782
42	2061	2733
43	2108	2684
44	2157	2636
45	2203	2587
46	2250	2537
47	2296	2488
48	2343	2438
49	2389	2389
50	2435	2340
51	2483	2292
52	2529	2243
53	2576	2194
54	2623	2146
55	2669	2097
56	2716	2049
57	2763	2001
58	2809	1952
59	2857	1904
60	2904	1856
61	2950	1808
62	2998	1761
63	3044	1712
64	3117	1678
65	3167	1631
66	3213	1582
67	3260	1534
68	3307	1485
69	3353	1437
70	3399	1388
71	3445	1339
72	3492	1291
73	3538	1243
74	3585	1195
75	3631	1146
76	3678	1098
77	3723	1050
78	3769	1002
79	3815	953
80	3861	905
81	3909	858
82	3957	810
83	4002	762
84	4048	714
85	4096	666
86	4144	619
87	4191	571
88	4238	523
89	4284	476
90	4331	428
91	4378	380
92	4424	333
93	4472	285
94	4519	237
95	4565	190
96	4611	142
97	4659	95
98	4706	47
99	4753	0
